Altium Designer Pick and Place Locations
D:\Nauras Final year project\Final year project\Relia ver2\Project Outputs for Relia ver2\Pick Place for RELIA.csv

========================================================================================================================
File Design Information:

Date:       31-12-25
Time:       16:05
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"D12","SMF5.0AT1G","TopLayer","ONSC-SOD-123FL-2-498_V","56.1340","22.9870","270","200 W Transient Voltage Suppressor, 2-Pin SOD-123FL, Pb-Free, Tape and Reel"
"J9","SM06B-GHS-TB(LF)(SN)","TopLayer","FP-SM06B-GHS-TB_LF_SN-MFG","59.7770","28.3210","90","CONN HEADER SMD R/A 6POS 1.25MM"
"C59","0.1uF","TopLayer","FP-C0402-BB-MFG","56.1340","50.9270","180","CAP CER 0.1UF 10V X7R 0402"
"Y2","32khz","TopLayer","FP-ABS07-MFG","38.2270","45.0850","0","Crystal 32.768kHz ±20ppm (Tol) 12.5pF FUND 70k? 2-Pin CSMD T/R"
"Y1","25mhz","TopLayer","XTAL_SXT32412BB07-25.000MT","31.6230","46.8630","90","25 MHz Â±30ppm Crystal 12pF 50 Ohms 4-SMD, No Lead"
"U9","MIC5332-SSYMT-TR","TopLayer","FP-MIC5332-SSYMT-TR-IPC_C","36.4490","11.5570","90","IC REG LINEAR 3.3V/3.3V 8TMLF"
"U8","TPS2121RUXR","TopLayer","FP-RUX0012A-MFG","43.5610","4.4450","270","PWR MGMT BATTERY MGMT"
"U7","LMR23625CFPDRRR","TopLayer","DRR0012D","27.1780","4.6990","180","SIMPLE SWITCHERÂ®, 36V 2.5A Synchronous Step-Down Converter 12-WSON -40 to 125"
"U6","BMI088","TopLayer","PQFN50P450X300X100-16N","15.8750","31.4960","0","High-performance 6-axis inertial sensor (accelerometer + gyroscope) <a href="https://pricing.snapeda.com/parts/BMI088/Bosch%20Sensortec/view-part?ref=eda">Check prices</a>"
"U5","FM25V02A-DG","TopLayer","SON95P450X400X80-9N","44.7040","42.5450","0","FRAM (Ferroelectric RAM) Memory IC 256Kb (32K x 8) SPI 40 MHz 8-DFN (4x4.5)"
"U4","ICM-42688-P","TopLayer","PQFN50P300X250X97-14N","19.5500","22.1240","0","Accelerometer, Gyroscope, 6 Axis Sensor Output"
"U3","STM32H743VIT6","TopLayer","FP-LQFP100-1L-MFG","31.3690","34.6710","270","IC MCU 32BIT 2MB FLASH 100LQFP"
"U2","TJA1051T/3,118","TopLayer","NXP-SOIC-8_L","47.4980","34.9250","90","High-Speed CAN Transceiver, 3 to 5 V, 8-Pin SOIC (SOT96-1), RoHS, Tape and Reel"
"U1","USBLC6-2SC6","TopLayer","SOT95P280X145-6N","51.8160","14.9860","180","17V Clamp 5A (8/20Âµs) Ipp Tvs Diode Surface Mount SOT-23-6"
